master_protein	cells	treatment	rep
Q02543	MCF10A	CL	1
Q16643	MCF10A	CL	1
P31930	MCF10A	CL	1
P29590	MCF10A	CL	1
Q8TF01	MCF10A	CL	1
Q14573	MCF10A	CL	1
Q7L2E3	MCF10A	CL	1
Q9H6R4	MCF10A	CL	1
Q9NVN8	MCF10A	CL	1
P09382	MCF10A	CL	1
Q13045	MCF10A	CL	1
Q9P2N5	MCF10A	CL	1
P49588	MCF10A	CL	1
Q14678	MCF10A	CL	1
Q96CT7	MCF10A	CL	1
Q96T76	MCF10A	CL	1
Q9UPQ9	MCF10A	CL	1
Q8NBN3	MCF10A	CL	1
P50991	MCF10A	CL	1
O60664	MCF10A	CL	1
P00338	MCF10A	CL	1
Q16531	MCF10A	CL	1
P11717	MCF10A	CL	1
Q9GZT3	MCF10A	CL	1
Q9UKY7	MCF10A	CL	1
Q96FQ6	MCF10A	CL	1
Q14512	MCF10A	CL	1
P62829	MCF10A	CL	1
Q8WXI9	MCF10A	CL	1
P30622	MCF10A	CL	1
P61981	MCF10A	CL	1
O75694	MCF10A	CL	1
Q9Y3T9	MCF10A	CL	1
P06748	MCF10A	CL	1
Q9Y2Z0	MCF10A	CL	1
P78362	MCF10A	CL	1
P27348	MCF10A	CL	1
Q93052	MCF10A	CL	1
Q15021	MCF10A	CL	1
P31040	MCF10A	CL	1
Q05209	MCF10A	CL	1
Q86TB9	MCF10A	CL	1
Q9H190	MCF10A	CL	1
Q9NZM5	MCF10A	CL	1
Q9H6B4	MCF10A	CL	1
Q15366	MCF10A	CL	1
P17987	MCF10A	CL	1
Q01780	MCF10A	CL	1
Q9H2P0	MCF10A	CL	1
P60903	MCF10A	CL	1
Q14997	MCF10A	CL	1
Q14011	MCF10A	CL	1
Q92597	MCF10A	CL	1
Q5T5U3	MCF10A	CL	1
Q7KZI7	MCF10A	CL	1
A5YKK6	MCF10A	CL	1
P04920	MCF10A	CL	1
Q86XZ4	MCF10A	CL	1
Q9Y2L1	MCF10A	CL	1
Q96AY3	MCF10A	CL	1
Q14166	MCF10A	CL	1
P62280	MCF10A	CL	1
Q14008	MCF10A	CL	1
P62847	MCF10A	CL	1
Q13123	MCF10A	CL	1
P36952	MCF10A	CL	1
P40939	MCF10A	CL	1
Q15029	MCF10A	CL	1
Q9ULH0	MCF10A	CL	1
P05120	MCF10A	CL	1
Q86U38	MCF10A	CL	1
Q14690	MCF10A	CL	1
